
sat

### Packet at dedicated node:
FlowType  PktNumber   Node   Time
	1		 1		   37	   1
	1		 1		   37	   2
	1		 1		   37	   3
	1		 1		   37	   4
	1		 1		   37	   5
	1		 1		   37	   6
	1		 1		   37	   7
	1		 1		   37	   8
	1		 1		   37	   9
	1		 1		   37	   10
	1		 1		   37	   11
	1		 1		   37	   12
	1		 1		   37	   13
	1		 1		   37	   14
	1		 1		   37	   15
	1		 1		   37	   16
	1		 1		   37	   17
	1		 1		   2	   18
	1		 1		   2	   19
	1		 1		   2	   20
	1		 1		   4	   21
	1		 1		   4	   22
	1		 1		   4	   23
	1		 1		   4	   24
	1		 1		   21	   25
	1		 1		   21	   26
	1		 1		   21	   27
	1		 1		   21	   28
	1		 1		   21	   29
	1		 1		   21	   30
	2		 1		   18	   1
	2		 1		   18	   2
	2		 1		   18	   3
	2		 1		   18	   4
	2		 1		   18	   5
	2		 1		   18	   6
	2		 1		   18	   7
	2		 1		   18	   8
	2		 1		   18	   9
	2		 1		   18	   10
	2		 1		   18	   11
	2		 1		   11	   12
	2		 1		   14	   13
	2		 1		   14	   14
	2		 1		   14	   15
	2		 1		   14	   16
	2		 1		   14	   17
	2		 1		   14	   18
	2		 1		   14	   19
	2		 1		   14	   20
	2		 1		   14	   21
	2		 1		   14	   22
	2		 1		   14	   23
	2		 1		   14	   24
	2		 1		   14	   25
	2		 1		   14	   26
	2		 1		   14	   27
	2		 1		   14	   28
	2		 1		   14	   29
	2		 1		   14	   30

### Packet at shared node: 
FlowType  PktNumber   Path   Node    Time
	1		 1		   1	   37	   1
	1		 1		   1	   37	   2
	1		 1		   1	   37	   3
	1		 1		   1	   37	   4
	1		 1		   1	   37	   5
	1		 1		   1	   37	   6
	1		 1		   1	   37	   7
	1		 1		   1	   37	   8
	1		 1		   1	   37	   9
	1		 1		   1	   37	   10
	1		 1		   1	   37	   11
	1		 1		   1	   37	   12
	1		 1		   1	   37	   13
	1		 1		   1	   37	   14
	1		 1		   1	   37	   15
	1		 1		   1	   37	   16
	1		 1		   1	   37	   17
	1		 1		   1	   37	   18
	1		 1		   1	   0	   19
	1		 1		   1	   2	   20
	1		 1		   1	   2	   21
	1		 1		   1	   2	   22
	1		 1		   1	   2	   23
	1		 1		   1	   4	   24
	1		 1		   1	   4	   25
	1		 1		   1	   4	   26
	1		 1		   1	   4	   27
	1		 1		   1	   21	   28
	1		 1		   1	   21	   29
	1		 1		   1	   21	   30
	1		 1		   2	   2	   1
	1		 1		   2	   2	   2
	1		 1		   2	   2	   3
	1		 1		   2	   2	   4
	1		 1		   2	   2	   5
	1		 1		   2	   2	   6
	1		 1		   2	   2	   7
	1		 1		   2	   2	   8
	1		 1		   2	   2	   9
	1		 1		   2	   2	   10
	1		 1		   2	   2	   11
	1		 1		   2	   2	   12
	1		 1		   2	   2	   13
	1		 1		   2	   2	   14
	1		 1		   2	   2	   15
	1		 1		   2	   2	   16
	1		 1		   2	   2	   17
	1		 1		   2	   2	   18
	1		 1		   2	   2	   19
	1		 1		   2	   2	   20
	1		 1		   2	   2	   21
	1		 1		   2	   3	   22
	1		 1		   2	   10	   23
	1		 1		   2	   10	   24
	1		 1		   2	   10	   25
	1		 1		   2	   10	   26
	1		 1		   2	   4	   27
	1		 1		   2	   4	   28
	1		 1		   2	   4	   29
	1		 1		   2	   21	   30
	1		 1		   3	   4	   1
	1		 1		   3	   4	   2
	1		 1		   3	   4	   3
	1		 1		   3	   4	   4
	1		 1		   3	   4	   5
	1		 1		   3	   4	   6
	1		 1		   3	   4	   7
	1		 1		   3	   4	   8
	1		 1		   3	   4	   9
	1		 1		   3	   4	   10
	1		 1		   3	   4	   11
	1		 1		   3	   4	   12
